comment,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
"Konsepnya sama dengan grab, gojek, dan semua aplikasi lain yang memberi diskon atau cashback sih. Ya itu memang teknik marketing.",Konsepnya sama dengan grab gojek dan semua aplikasi lain yang memberi diskon atau cashback sih Ya itu memang teknik marketing,konsepnya sama dengan grab gojek dan semua aplikasi lain yang memberi diskon atau cashback sih ya itu memang teknik marketing,konsepnya sama dengan grab gojek dan semua aplikasi lain yang memberi diskon atau cashback sih ya itu memang teknik marketing,"['konsepnya', 'sama', 'dengan', 'grab', 'gojek', 'dan', 'semua', 'aplikasi', 'lain', 'yang', 'memberi', 'diskon', 'atau', 'cashback', 'sih', 'ya', 'itu', 'memang', 'teknik', 'marketing']","['konsepnya', 'grab', 'gojek', 'aplikasi', 'diskon', 'cashback', 'sih', 'ya', 'teknik', 'marketing']",konsep grab gojek aplikasi diskon cashback sih ya teknik marketing
Kira kira duitnya halal kg sih,Kira kira duitnya halal kg sih,kira kira duitnya halal kg sih,kira kira duitnya halal kg sih,"['kira', 'kira', 'duitnya', 'halal', 'kg', 'sih']","['duitnya', 'halal', 'kg', 'sih']",duit halal kg sih
Lah mending jual ginjal lah,Lah mending jual ginjal lah,lah mending jual ginjal lah,lah mending jual ginjal lah,"['lah', 'mending', 'jual', 'ginjal', 'lah']","['mending', 'jual', 'ginjal']",mending jual ginjal
"Ntar data bisa salah guma,mmg miskin Konoha",Ntar data bisa salah gumammg miskin Konoha,ntar data bisa salah gumammg miskin konoha,entar data bisa salah gumammg miskin konoha,"['entar', 'data', 'bisa', 'salah', 'gumammg', 'miskin', 'konoha']","['entar', 'data', 'salah', 'gumammg', 'miskin', 'konoha']",entar data salah gumammg miskin konoha
BUKTI NYATA 60% INDONRSIA BANYAK YG MISKIN,BUKTI NYATA  INDONRSIA BANYAK YG MISKIN,bukti nyata  indonrsia banyak yg miskin,bukti nyata indonrsia banyak yang miskin,"['bukti', 'nyata', 'indonrsia', 'banyak', 'yang', 'miskin']","['bukti', 'nyata', 'indonrsia', 'miskin']",bukti nyata indonrsia miskin
"Data mana sih yg ga bocor 😂
Bukan nya data data penduduk Indonesia sudah bocor dari dulu lucu nya😂","Data mana sih yg ga bocor 
Bukan nya data data penduduk Indonesia sudah bocor dari dulu lucu nya","data mana sih yg ga bocor 
bukan nya data data penduduk indonesia sudah bocor dari dulu lucu nya",data mana sih yang tidak bocor bukan ya data data penduduk indonesia sudah bocor dari dulu lucu ya,"['data', 'mana', 'sih', 'yang', 'tidak', 'bocor', 'bukan', 'ya', 'data', 'data', 'penduduk', 'indonesia', 'sudah', 'bocor', 'dari', 'dulu', 'lucu', 'ya']","['data', 'sih', 'bocor', 'ya', 'data', 'data', 'penduduk', 'indonesia', 'bocor', 'lucu', 'ya']",data sih bocor ya data data duduk indonesia bocor lucu ya
Untuk apa itu??,Untuk apa itu,untuk apa itu,untuk apa itu,"['untuk', 'apa', 'itu']",[],
Korban penipuan itu memang kebanyakan orang yang Miskin dan ber’SDM rendah 😢 Turut prihatin..,Korban penipuan itu memang kebanyakan orang yang Miskin dan berSDM rendah  Turut prihatin,korban penipuan itu memang kebanyakan orang yang miskin dan bersdm rendah  turut prihatin,korban penipuan itu memang kebanyakan orang yang miskin dan bersdm rendah turut prihatin,"['korban', 'penipuan', 'itu', 'memang', 'kebanyakan', 'orang', 'yang', 'miskin', 'dan', 'bersdm', 'rendah', 'turut', 'prihatin']","['korban', 'penipuan', 'kebanyakan', 'orang', 'miskin', 'bersdm', 'rendah', 'prihatin']",korban tipu banyak orang miskin bersdm rendah prihatin
"salah 1 bukti hasil  kepemimpinan mulyono..
ayo fuffafa lanjutkan kesuksesan bapakmu..
kaum 58 selalu mendukung anak cucu mulyono jadi pemimpin negri ini...
gak ada yg pantas jadi pemimmpin negri ini, baik partai, gubernur, presiden, badan hukum, selain keluarga mulyono..
karna mulyono adalah titisan ratu adil..
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂","salah  bukti hasil  kepemimpinan mulyono
ayo fuffafa lanjutkan kesuksesan bapakmu
kaum  selalu mendukung anak cucu mulyono jadi pemimpin negri ini
gak ada yg pantas jadi pemimmpin negri ini baik partai gubernur presiden badan hukum selain keluarga mulyono
karna mulyono adalah titisan ratu adil
","salah  bukti hasil  kepemimpinan mulyono
ayo fuffafa lanjutkan kesuksesan bapakmu
kaum  selalu mendukung anak cucu mulyono jadi pemimpin negri ini
gak ada yg pantas jadi pemimmpin negri ini baik partai gubernur presiden badan hukum selain keluarga mulyono
karna mulyono adalah titisan ratu adil
",salah bukti hasil kepemimpinan mulyono ayo fuffafa lanjutkan kesuksesan bapakmu kaum selalu mendukung anak cucu mulyono jadi pemimpin negeri ini tidak ada yang pantas jadi pemimmpin negeri ini baik partai gubernur presiden badan hukum selain keluarga mulyono karena mulyono adalah titisan ratu adil,"['salah', 'bukti', 'hasil', 'kepemimpinan', 'mulyono', 'ayo', 'fuffafa', 'lanjutkan', 'kesuksesan', 'bapakmu', 'kaum', 'selalu', 'mendukung', 'anak', 'cucu', 'mulyono', 'jadi', 'pemimpin', 'negeri', 'ini', 'tidak', 'ada', 'yang', 'pantas', 'jadi', 'pemimmpin', 'negeri', 'ini', 'baik', 'partai', 'gubernur', 'presiden', 'badan', 'hukum', 'selain', 'keluarga', 'mulyono', 'karena', 'mulyono', 'adalah', 'titisan', 'ratu', 'adil']","['salah', 'bukti', 'hasil', 'kepemimpinan', 'mulyono', 'ayo', 'fuffafa', 'lanjutkan', 'kesuksesan', 'bapakmu', 'kaum', 'mendukung', 'anak', 'cucu', 'mulyono', 'pemimpin', 'negeri', 'pemimmpin', 'negeri', 'partai', 'gubernur', 'presiden', 'badan', 'hukum', 'keluarga', 'mulyono', 'mulyono', 'titisan', 'ratu', 'adil']",salah bukti hasil pimpin mulyono ayo fuffafa lanjut sukses bapak kaum dukung anak cucu mulyono pimpin negeri pemimmpin negeri partai gubernur presiden badan hukum keluarga mulyono mulyono titis ratu adil
Nanti tahu tahu punya hutang milyaran terus baru demo menuntut pemerintah melindungi data warganya 😂😂😂,Nanti tahu tahu punya hutang milyaran terus baru demo menuntut pemerintah melindungi data warganya ,nanti tahu tahu punya hutang milyaran terus baru demo menuntut pemerintah melindungi data warganya ,nanti tahu tahu punya hutang milyaran terus baru demo menuntut pemerintah melindungi data warganya,"['nanti', 'tahu', 'tahu', 'punya', 'hutang', 'milyaran', 'terus', 'baru', 'demo', 'menuntut', 'pemerintah', 'melindungi', 'data', 'warganya']","['hutang', 'milyaran', 'demo', 'menuntut', 'pemerintah', 'melindungi', 'data', 'warganya']",hutang milyaran demo tuntut perintah lindung data warga
"Mungkinkah mereka yang mendaftar dan dipihk Yg bersangkutan mereka yang mendaftar akan diajukan Pinjol dan dapat uangnya, siapa disini yang udah daftar di apk itu dan apakah benar dapat uangnya?",Mungkinkah mereka yang mendaftar dan dipihk Yg bersangkutan mereka yang mendaftar akan diajukan Pinjol dan dapat uangnya siapa disini yang udah daftar di apk itu dan apakah benar dapat uangnya,mungkinkah mereka yang mendaftar dan dipihk yg bersangkutan mereka yang mendaftar akan diajukan pinjol dan dapat uangnya siapa disini yang udah daftar di apk itu dan apakah benar dapat uangnya,mungkinkah mereka yang mendaftar dan dipihk yang bersangkutan mereka yang mendaftar akan diajukan pinjol dan dapat uangnya siapa disini yang sudah daftar di apk itu dan apakah benar dapat uangnya,"['mungkinkah', 'mereka', 'yang', 'mendaftar', 'dan', 'dipihk', 'yang', 'bersangkutan', 'mereka', 'yang', 'mendaftar', 'akan', 'diajukan', 'pinjol', 'dan', 'dapat', 'uangnya', 'siapa', 'disini', 'yang', 'sudah', 'daftar', 'di', 'apk', 'itu', 'dan', 'apakah', 'benar', 'dapat', 'uangnya']","['mendaftar', 'dipihk', 'bersangkutan', 'mendaftar', 'diajukan', 'pinjol', 'uangnya', 'daftar', 'apk', 'uangnya']",daftar dipihk sangkut daftar aju pinjol uang daftar apk uang
"Ikut transmigrasi saja, tanam lombok. Lebih aman dan halal",Ikut transmigrasi saja tanam lombok Lebih aman dan halal,ikut transmigrasi saja tanam lombok lebih aman dan halal,ikut transmigrasi saja tanam lombok lebih aman dan halal,"['ikut', 'transmigrasi', 'saja', 'tanam', 'lombok', 'lebih', 'aman', 'dan', 'halal']","['transmigrasi', 'tanam', 'lombok', 'aman', 'halal']",transmigrasi tanam lombok aman halal
Secara tidak langsung mereka menjual data dirinya ke aplikasi 😂😂😂😂 gak ada yang mau rugi tau gak,Secara tidak langsung mereka menjual data dirinya ke aplikasi  gak ada yang mau rugi tau gak,secara tidak langsung mereka menjual data dirinya ke aplikasi  gak ada yang mau rugi tau gak,secara tidak langsung mereka menjual data dirinya ke aplikasi tidak ada yang mau rugi tau tidak,"['secara', 'tidak', 'langsung', 'mereka', 'menjual', 'data', 'dirinya', 'ke', 'aplikasi', 'tidak', 'ada', 'yang', 'mau', 'rugi', 'tau', 'tidak']","['langsung', 'menjual', 'data', 'aplikasi', 'rugi', 'tau']",langsung jual data aplikasi rugi tau
"data ektp aj udh ilang dri dlu
skrng nglengkapin yg kurang aj","data ektp aj udh ilang dri dlu
skrng nglengkapin yg kurang aj","data ektp aj udh ilang dri dlu
skrng nglengkapin yg kurang aj",data ektp saja sudah hilang dari dulu sekarang nglengkapin yang kurang saja,"['data', 'ektp', 'saja', 'sudah', 'hilang', 'dari', 'dulu', 'sekarang', 'nglengkapin', 'yang', 'kurang', 'saja']","['data', 'ektp', 'hilang', 'nglengkapin']",data ektp hilang nglengkapin
Pembodohan untuk orang orang indo (pemerintah) tak punya wibawa,Pembodohan untuk orang orang indo pemerintah tak punya wibawa,pembodohan untuk orang orang indo pemerintah tak punya wibawa,pembodohan untuk orang orang indonesia pemerintah tak punya wibawa,"['pembodohan', 'untuk', 'orang', 'orang', 'indonesia', 'pemerintah', 'tak', 'punya', 'wibawa']","['pembodohan', 'orang', 'orang', 'indonesia', 'pemerintah', 'wibawa']",bodoh orang orang indonesia perintah wibawa
Selagi belum ada izin dari pemerintah retina tetap berbahaya karna menyangkut data seseorang.!!.... Jangan  sampai tertipu.,Selagi belum ada izin dari pemerintah retina tetap berbahaya karna menyangkut data seseorang Jangan  sampai tertipu,selagi belum ada izin dari pemerintah retina tetap berbahaya karna menyangkut data seseorang jangan  sampai tertipu,selagi belum ada izin dari pemerintah retina tetap berbahaya karena menyangkut data seseorang jangan sampai tertipu,"['selagi', 'belum', 'ada', 'izin', 'dari', 'pemerintah', 'retina', 'tetap', 'berbahaya', 'karena', 'menyangkut', 'data', 'seseorang', 'jangan', 'sampai', 'tertipu']","['selagi', 'izin', 'pemerintah', 'retina', 'berbahaya', 'data', 'tertipu']",selagi izin perintah retina bahaya data tipu
"data retinamu di beli kelak semua transaksi akan menggunakan data retina, dan data retinamu sudah terjual sehingga kamu akan kesulitan bertransaksi..

Gk percaya?? kita buktikan 5thn lagi

Konoha""..","data retinamu di beli kelak semua transaksi akan menggunakan data retina dan data retinamu sudah terjual sehingga kamu akan kesulitan bertransaksi

Gk percaya kita buktikan thn lagi

Konoha","data retinamu di beli kelak semua transaksi akan menggunakan data retina dan data retinamu sudah terjual sehingga kamu akan kesulitan bertransaksi

gk percaya kita buktikan thn lagi

konoha",data retinamu di beli kelak semua transaksi akan menggunakan data retina dan data retinamu sudah terjual sehingga kamu akan kesulitan bertransaksi tidak percaya kita buktikan tahun lagi konoha,"['data', 'retinamu', 'di', 'beli', 'kelak', 'semua', 'transaksi', 'akan', 'menggunakan', 'data', 'retina', 'dan', 'data', 'retinamu', 'sudah', 'terjual', 'sehingga', 'kamu', 'akan', 'kesulitan', 'bertransaksi', 'tidak', 'percaya', 'kita', 'buktikan', 'tahun', 'lagi', 'konoha']","['data', 'retinamu', 'beli', 'kelak', 'transaksi', 'data', 'retina', 'data', 'retinamu', 'terjual', 'kesulitan', 'bertransaksi', 'percaya', 'buktikan', 'konoha']",data retina beli kelak transaksi data retina data retina jual sulit transaksi percaya bukti konoha
"Bukankah irish code itulah extraksi dari pengambilan foto retina trsebut.. Fotonya ya sudah tidak dibutuhkan lagi... 😅
M bangking aja cuma perlu data wajah,, tidak sampai foto retina😅","Bukankah irish code itulah extraksi dari pengambilan foto retina trsebut Fotonya ya sudah tidak dibutuhkan lagi 
M bangking aja cuma perlu data wajah tidak sampai foto retina","bukankah irish code itulah extraksi dari pengambilan foto retina trsebut fotonya ya sudah tidak dibutuhkan lagi 
m bangking aja cuma perlu data wajah tidak sampai foto retina",bukankah irish code itulah extraksi dari pengambilan foto retina trsebut fotonya ya sudah tidak dibutuhkan lagi sama bangking saja cuma perlu data wajah tidak sampai foto retina,"['bukankah', 'irish', 'code', 'itulah', 'extraksi', 'dari', 'pengambilan', 'foto', 'retina', 'trsebut', 'fotonya', 'ya', 'sudah', 'tidak', 'dibutuhkan', 'lagi', 'sama', 'bangking', 'saja', 'cuma', 'perlu', 'data', 'wajah', 'tidak', 'sampai', 'foto', 'retina']","['irish', 'code', 'extraksi', 'pengambilan', 'foto', 'retina', 'trsebut', 'fotonya', 'ya', 'dibutuhkan', 'bangking', 'data', 'wajah', 'foto', 'retina']",irish code extraksi ambil foto retina trsebut foto ya butuh bangking data wajah foto retina
Jangan brooo data kamu bisa d olah buat tekknologi ke depan terutama robot ai. Jada robot akan sama dengan manusia data nya kiamaaattt,Jangan brooo data kamu bisa d olah buat tekknologi ke depan terutama robot ai Jada robot akan sama dengan manusia data nya kiamaaattt,jangan brooo data kamu bisa d olah buat tekknologi ke depan terutama robot ai jada robot akan sama dengan manusia data nya kiamaaattt,jangan brooo data kamu bisa di olah buat tekknologi ke depan terutama robot ai jada robot akan sama dengan manusia data ya kiamaaattt,"['jangan', 'brooo', 'data', 'kamu', 'bisa', 'di', 'olah', 'buat', 'tekknologi', 'ke', 'depan', 'terutama', 'robot', 'ai', 'jada', 'robot', 'akan', 'sama', 'dengan', 'manusia', 'data', 'ya', 'kiamaaattt']","['brooo', 'data', 'olah', 'tekknologi', 'robot', 'ai', 'jada', 'robot', 'manusia', 'data', 'ya', 'kiamaaattt']",brooo data olah tekknologi robot ai jada robot manusia data ya kiamaaattt
"gue miskin ga masalah retina di scan 800rb lumayan, perbanyak saja aplikasi beginian, lagian apa cuma pake data retina saja tanpa didukung data lain utk verifikasi sesuatu, spti alamat, no hp, no ktp, no kk dll. maklumin aja buat yg miskin ga bisa kerja dan susah cari uang. wkwkwk",gue miskin ga masalah retina di scan rb lumayan perbanyak saja aplikasi beginian lagian apa cuma pake data retina saja tanpa didukung data lain utk verifikasi sesuatu spti alamat no hp no ktp no kk dll maklumin aja buat yg miskin ga bisa kerja dan susah cari uang wkwkwk,gue miskin ga masalah retina di scan rb lumayan perbanyak saja aplikasi beginian lagian apa cuma pake data retina saja tanpa didukung data lain utk verifikasi sesuatu spti alamat no hp no ktp no kk dll maklumin aja buat yg miskin ga bisa kerja dan susah cari uang wkwkwk,gue miskin tidak masalah retina di scan ribu lumayan perbanyak saja aplikasi beginian lagian apa cuma pakai data retina saja tanpa didukung data lain untuk verifikasi sesuatu seperti alamat no hp no ktp no kakak dll maklumin saja buat yang miskin tidak bisa kerja dan susah cari uang wkwkwk,"['gue', 'miskin', 'tidak', 'masalah', 'retina', 'di', 'scan', 'ribu', 'lumayan', 'perbanyak', 'saja', 'aplikasi', 'beginian', 'lagian', 'apa', 'cuma', 'pakai', 'data', 'retina', 'saja', 'tanpa', 'didukung', 'data', 'lain', 'untuk', 'verifikasi', 'sesuatu', 'seperti', 'alamat', 'no', 'hp', 'no', 'ktp', 'no', 'kakak', 'dll', 'maklumin', 'saja', 'buat', 'yang', 'miskin', 'tidak', 'bisa', 'kerja', 'dan', 'susah', 'cari', 'uang', 'wkwkwk']","['gue', 'miskin', 'retina', 'scan', 'ribu', 'lumayan', 'perbanyak', 'aplikasi', 'pakai', 'data', 'retina', 'didukung', 'data', 'verifikasi', 'alamat', 'no', 'hp', 'no', 'ktp', 'no', 'kakak', 'dll', 'maklumin', 'miskin', 'kerja', 'susah', 'cari', 'uang', 'wkwkwk']",gue miskin retina scan ribu lumayan banyak aplikasi pakai data retina dukung data verifikasi alamat no hp no ktp no kakak dll maklumin miskin kerja susah cari uang wkwkwk
"Narasumber nya kurang kompeten, 😂😂 ngomong nya aja e e e e e",Narasumber nya kurang kompeten  ngomong nya aja e e e e e,narasumber nya kurang kompeten  ngomong nya aja e e e e e,narasumber ya kurang kompeten mengomong ya saja e e e e e,"['narasumber', 'ya', 'kurang', 'kompeten', 'mengomong', 'ya', 'saja', 'e', 'e', 'e', 'e', 'e']","['narasumber', 'ya', 'kompeten', 'mengomong', 'ya', 'e', 'e', 'e', 'e', 'e']",narasumber ya kompeten omong ya e e e e e
Mestinya ahli nya Roy suryo biar byk yg percaya wkwkwk,Mestinya ahli nya Roy suryo biar byk yg percaya wkwkwk,mestinya ahli nya roy suryo biar byk yg percaya wkwkwk,mestinya ahli ya roy suryo biar banyak yang percaya wkwkwk,"['mestinya', 'ahli', 'ya', 'roy', 'suryo', 'biar', 'banyak', 'yang', 'percaya', 'wkwkwk']","['mestinya', 'ahli', 'ya', 'roy', 'suryo', 'biar', 'percaya', 'wkwkwk']",mesti ahli ya roy suryo biar percaya wkwkwk
Di tangerang jg ada,Di tangerang jg ada,di tangerang jg ada,di tangerang juga ada,"['di', 'tangerang', 'juga', 'ada']",['tangerang'],tangerang
"Harusnya pemeerintah sadar knpa rakyatnya begini, ekonomi sekarat, lapangan kerja minim, buka usaha d ganggu ormas kmiskinan melonjak, narkoba meluas, judi tak d berantas itu sebabnya rakyat begini.
Jgn cuma bilang rakyat yg salah pemerintah pn salah.","Harusnya pemeerintah sadar knpa rakyatnya begini ekonomi sekarat lapangan kerja minim buka usaha d ganggu ormas kmiskinan melonjak narkoba meluas judi tak d berantas itu sebabnya rakyat begini
Jgn cuma bilang rakyat yg salah pemerintah pn salah","harusnya pemeerintah sadar knpa rakyatnya begini ekonomi sekarat lapangan kerja minim buka usaha d ganggu ormas kmiskinan melonjak narkoba meluas judi tak d berantas itu sebabnya rakyat begini
jgn cuma bilang rakyat yg salah pemerintah pn salah",harusnya pemeerintah sadar kenapa rakyatnya begini ekonomi sekarat lapangan kerja minim buka usaha di ganggu ormas kmiskinan melonjak narkoba meluas judi tak di berantas itu sebabnya rakyat begini jangan cuma bilang rakyat yang salah pemerintah pn salah,"['harusnya', 'pemeerintah', 'sadar', 'kenapa', 'rakyatnya', 'begini', 'ekonomi', 'sekarat', 'lapangan', 'kerja', 'minim', 'buka', 'usaha', 'di', 'ganggu', 'ormas', 'kmiskinan', 'melonjak', 'narkoba', 'meluas', 'judi', 'tak', 'di', 'berantas', 'itu', 'sebabnya', 'rakyat', 'begini', 'jangan', 'cuma', 'bilang', 'rakyat', 'yang', 'salah', 'pemerintah', 'pn', 'salah']","['pemeerintah', 'sadar', 'rakyatnya', 'ekonomi', 'sekarat', 'lapangan', 'kerja', 'minim', 'buka', 'usaha', 'ganggu', 'ormas', 'kmiskinan', 'melonjak', 'narkoba', 'meluas', 'judi', 'berantas', 'rakyat', 'bilang', 'rakyat', 'salah', 'pemerintah', 'pn', 'salah']",pemeerintah sadar rakyat ekonomi sekarat lapang kerja minim buka usaha ganggu ormas kmiskinan lonjak narkoba luas judi berantas rakyat bilang rakyat salah perintah pn salah
"Ya namanya juga negara miskin wajar lah ..
Krna negara tidak memberi kita uang malah majakin  kita","Ya namanya juga negara miskin wajar lah 
Krna negara tidak memberi kita uang malah majakin  kita","ya namanya juga negara miskin wajar lah 
krna negara tidak memberi kita uang malah majakin  kita",ya namanya juga negara miskin wajar lah karena negara tidak memberi kita uang malah majakin kita,"['ya', 'namanya', 'juga', 'negara', 'miskin', 'wajar', 'lah', 'karena', 'negara', 'tidak', 'memberi', 'kita', 'uang', 'malah', 'majakin', 'kita']","['ya', 'namanya', 'negara', 'miskin', 'wajar', 'negara', 'uang', 'majakin']",ya nama negara miskin wajar negara uang majakin
"Yah Krn kegobloan pemerintah lah, gagal menyediakn lapangan kerja 😂😂😂,",Yah Krn kegobloan pemerintah lah gagal menyediakn lapangan kerja ,yah krn kegobloan pemerintah lah gagal menyediakn lapangan kerja ,ya karena kegobloan pemerintah lah gagal menyediakn lapangan kerja,"['ya', 'karena', 'kegobloan', 'pemerintah', 'lah', 'gagal', 'menyediakn', 'lapangan', 'kerja']","['ya', 'kegobloan', 'pemerintah', 'gagal', 'menyediakn', 'lapangan', 'kerja']",ya kegobloan perintah gagal menyediakn lapang kerja
Tidak ada mkn siang gertis,Tidak ada mkn siang gertis,tidak ada mkn siang gertis,tidak ada makin siang gertis,"['tidak', 'ada', 'makin', 'siang', 'gertis']","['siang', 'gertis']",siang gertis
"Kocak...,😂😂😂",Kocak,kocak,kocak,['kocak'],['kocak'],kocak
"data retina? proof of human dibilang data retina😂, worldcoin itu tech blockchain yg punya ekosistem sendiri dan mengalokasikan suplay untuk user.",data retina proof of human dibilang data retina worldcoin itu tech blockchain yg punya ekosistem sendiri dan mengalokasikan suplay untuk user,data retina proof of human dibilang data retina worldcoin itu tech blockchain yg punya ekosistem sendiri dan mengalokasikan suplay untuk user,data retina proof of human dibilang data retina worldcoin itu tech blockchain yang punya ekosistem sendiri dan mengalokasikan suplay untuk user,"['data', 'retina', 'proof', 'of', 'human', 'dibilang', 'data', 'retina', 'worldcoin', 'itu', 'tech', 'blockchain', 'yang', 'punya', 'ekosistem', 'sendiri', 'dan', 'mengalokasikan', 'suplay', 'untuk', 'user']","['data', 'retina', 'proof', 'of', 'human', 'dibilang', 'data', 'retina', 'worldcoin', 'tech', 'blockchain', 'ekosistem', 'mengalokasikan', 'suplay', 'user']",data retina proof of human bilang data retina worldcoin tech blockchain ekosistem alokasi suplay user
Pengamat ini hanya memahami teknis dan mekanisme Digital dan Blockchain tapi Dia samasekali gak mengerti tujuan dan maksud (tersembunyi) aplikasi ini dibuat,Pengamat ini hanya memahami teknis dan mekanisme Digital dan Blockchain tapi Dia samasekali gak mengerti tujuan dan maksud tersembunyi aplikasi ini dibuat,pengamat ini hanya memahami teknis dan mekanisme digital dan blockchain tapi dia samasekali gak mengerti tujuan dan maksud tersembunyi aplikasi ini dibuat,pengamat ini hanya memahami teknis dan mekanisme digital dan blockchain tapi dia samasekali tidak mengerti tujuan dan maksud tersembunyi aplikasi ini dibuat,"['pengamat', 'ini', 'hanya', 'memahami', 'teknis', 'dan', 'mekanisme', 'digital', 'dan', 'blockchain', 'tapi', 'dia', 'samasekali', 'tidak', 'mengerti', 'tujuan', 'dan', 'maksud', 'tersembunyi', 'aplikasi', 'ini', 'dibuat']","['pengamat', 'memahami', 'teknis', 'mekanisme', 'digital', 'blockchain', 'samasekali', 'mengerti', 'tujuan', 'maksud', 'tersembunyi', 'aplikasi']",amat paham teknis mekanisme digital blockchain samasekali erti tuju maksud sembunyi aplikasi
retina = disalah gunakan datanya? 😂😂😂😂,retina  disalah gunakan datanya ,retina  disalah gunakan datanya ,retina disalah gunakan datanya,"['retina', 'disalah', 'gunakan', 'datanya']","['retina', 'disalah', 'datanya']",retina salah data
Terdesak,Terdesak,terdesak,terdesak,['terdesak'],['terdesak'],desak
Sekumpulan orang orang tolol,Sekumpulan orang orang tolol,sekumpulan orang orang tolol,sekumpulan orang orang tolol,"['sekumpulan', 'orang', 'orang', 'tolol']","['sekumpulan', 'orang', 'orang', 'tolol']",kumpul orang orang tolol
Mari kita harus cerdas dari pada beli kripto lebih baik beli emas,Mari kita harus cerdas dari pada beli kripto lebih baik beli emas,mari kita harus cerdas dari pada beli kripto lebih baik beli emas,mari kita harus cerdas dari pada beli kripto lebih baik beli emas,"['mari', 'kita', 'harus', 'cerdas', 'dari', 'pada', 'beli', 'kripto', 'lebih', 'baik', 'beli', 'emas']","['mari', 'cerdas', 'beli', 'kripto', 'beli', 'emas']",mari cerdas beli kripto beli emas
"Data Retina itu kinerjanya seperti Scan Barcode, melalui selaput Retina Mata. Untuk membuka Seluruh Akses Data pribadi Anda, dibutuhkan Scanner tersebut tanpa persetujuan cap Jari ataupun Tanda Tangan.",Data Retina itu kinerjanya seperti Scan Barcode melalui selaput Retina Mata Untuk membuka Seluruh Akses Data pribadi Anda dibutuhkan Scanner tersebut tanpa persetujuan cap Jari ataupun Tanda Tangan,data retina itu kinerjanya seperti scan barcode melalui selaput retina mata untuk membuka seluruh akses data pribadi anda dibutuhkan scanner tersebut tanpa persetujuan cap jari ataupun tanda tangan,data retina itu kinerjanya seperti scan barcode melalui selaput retina mata untuk membuka seluruh akses data pribadi anda dibutuhkan scanner tersebut tanpa persetujuan cap jari ataupun tanda tangan,"['data', 'retina', 'itu', 'kinerjanya', 'seperti', 'scan', 'barcode', 'melalui', 'selaput', 'retina', 'mata', 'untuk', 'membuka', 'seluruh', 'akses', 'data', 'pribadi', 'anda', 'dibutuhkan', 'scanner', 'tersebut', 'tanpa', 'persetujuan', 'cap', 'jari', 'ataupun', 'tanda', 'tangan']","['data', 'retina', 'kinerjanya', 'scan', 'barcode', 'selaput', 'retina', 'mata', 'membuka', 'akses', 'data', 'pribadi', 'dibutuhkan', 'scanner', 'persetujuan', 'cap', 'jari', 'tanda', 'tangan']",data retina kerja scan barcode selaput retina mata buka akses data pribadi butuh scanner tuju cap jari tanda tangan
"deket rumah gua tuh 😅😅, kirain selama ini antri sembako atau apa gitu😅😅",deket rumah gua tuh  kirain selama ini antri sembako atau apa gitu,deket rumah gua tuh  kirain selama ini antri sembako atau apa gitu,dekat rumah gua tuh mengira selama ini antri sembako atau apa begitu,"['dekat', 'rumah', 'gua', 'tuh', 'mengira', 'selama', 'ini', 'antri', 'sembako', 'atau', 'apa', 'begitu']","['rumah', 'gua', 'tuh', 'antri', 'sembako']",rumah gua tuh antri sembako
Data WNI kan dah jebol dijual didarksite sekalian aja di obral,Data WNI kan dah jebol dijual didarksite sekalian aja di obral,data wni kan dah jebol dijual didarksite sekalian aja di obral,data wni kan sudah jebol dijual didarksite sekalian saja di obral,"['data', 'wni', 'kan', 'sudah', 'jebol', 'dijual', 'didarksite', 'sekalian', 'saja', 'di', 'obral']","['data', 'wni', 'jebol', 'dijual', 'didarksite', 'obral']",data wni jebol jual didarksite obral
"pemerintah harusnya mikir dari kejadian ini kalo rakyatnya masih banyak yang miskin, makan gratis bukan solusi buat masyarakat indonesia, apalagi investasi"" bodong :/",pemerintah harusnya mikir dari kejadian ini kalo rakyatnya masih banyak yang miskin makan gratis bukan solusi buat masyarakat indonesia apalagi investasi bodong ,pemerintah harusnya mikir dari kejadian ini kalo rakyatnya masih banyak yang miskin makan gratis bukan solusi buat masyarakat indonesia apalagi investasi bodong ,pemerintah harusnya mikir dari kejadian ini kalau rakyatnya masih banyak yang miskin makan gratis bukan solusi buat masyarakat indonesia apalagi investasi bodong,"['pemerintah', 'harusnya', 'mikir', 'dari', 'kejadian', 'ini', 'kalau', 'rakyatnya', 'masih', 'banyak', 'yang', 'miskin', 'makan', 'gratis', 'bukan', 'solusi', 'buat', 'masyarakat', 'indonesia', 'apalagi', 'investasi', 'bodong']","['pemerintah', 'mikir', 'kejadian', 'rakyatnya', 'miskin', 'makan', 'gratis', 'solusi', 'masyarakat', 'indonesia', 'investasi', 'bodong']",perintah mikir jadi rakyat miskin makan gratis solusi masyarakat indonesia investasi bodong
